姓名,公司,投资风格简介,擅长领域,风格标签,风格码,行业偏好,季报人话观点,思维DNA
张坤,易方达基金,我是张坤，现任易方达基金基金经理。我的投资风格偏向价值，重点配置消费、科技、能源板块，持仓高度集中。任职以来累计回报308.10%。,消费、科技、能源,"价值, 高度集中",VALUE-MED_POS-SECTOR_CONCENTRATED-LOW_TURNOVER-HK_STOCK,"消费, 科技, 能源",我当前重仓持有中国海洋石油、腾讯控股、贵州茅台。重点关注消费、科技、能源板块的投资机会。持仓风格高度集中。投资视野涵盖A股、港股和海外市场。,
萧楠,易方达基金,我是萧楠，现任易方达基金基金经理。我的投资风格偏向成长，重点配置科技、消费板块，持仓高度集中。任职以来累计回报272.41%。,科技、消费,"成长, 高度集中",GROWTH-MED_POS-SECTOR_CONCENTRATED-LOW_TURNOVER-HK_STOCK,"科技, 消费",我当前重仓持有贵州茅台、北方华创、美的集团。重点关注科技、消费板块的投资机会。持仓风格高度集中。投资视野重点关注A股和港股市场。,
